# E  sum  T1  T2  T3 ...
-10.0000   0.0245   0.0082   0.0082   0.0082
 -9.9750   0.0248   0.0083   0.0083   0.0083
 -9.9499   0.0251   0.0084   0.0084   0.0084
 -9.9249   0.0254   0.0085   0.0085   0.0085
 -9.8999   0.0257   0.0086   0.0086   0.0086
 -9.8749   0.0260   0.0087   0.0087   0.0087
 -9.8498   0.0264   0.0088   0.0088   0.0088
 -9.8248   0.0267   0.0089   0.0089   0.0089
 -9.7998   0.0270   0.0090   0.0090   0.0090
 -9.7748   0.0273   0.0091   0.0091   0.0091
 -9.7497   0.0277   0.0092   0.0092   0.0092
 -9.7247   0.0280   0.0093   0.0093   0.0093
 -9.6997   0.0284   0.0095   0.0095   0.0095
 -9.6747   0.0288   0.0096   0.0096   0.0096
 -9.6496   0.0291   0.0097   0.0097   0.0097
 -9.6246   0.0295   0.0098   0.0098   0.0098
 -9.5996   0.0299   0.0100   0.0100   0.0100
 -9.5746   0.0303   0.0101   0.0101   0.0101
 -9.5495   0.0307   0.0102   0.0102   0.0102
 -9.5245   0.0311   0.0104   0.0104   0.0104
 -9.4995   0.0315   0.0105   0.0105   0.0105
 -9.4745   0.0320   0.0107   0.0107   0.0107
 -9.4494   0.0324   0.0108   0.0108   0.0108
 -9.4244   0.0329   0.0110   0.0110   0.0110
 -9.3994   0.0333   0.0111   0.0111   0.0111
 -9.3744   0.0338   0.0113   0.0113   0.0113
 -9.3493   0.0343   0.0114   0.0114   0.0114
 -9.3243   0.0347   0.0116   0.0116   0.0116
 -9.2993   0.0352   0.0117   0.0117   0.0117
 -9.2743   0.0357   0.0119   0.0119   0.0119
 -9.2492   0.0363   0.0121   0.0121   0.0121
 -9.2242   0.0368   0.0123   0.0123   0.0123
 -9.1992   0.0373   0.0124   0.0124   0.0124
 -9.1742   0.0379   0.0126   0.0126   0.0126
 -9.1491   0.0385   0.0128   0.0128   0.0128
 -9.1241   0.0390   0.0130   0.0130   0.0130
 -9.0991   0.0396   0.0132   0.0132   0.0132
 -9.0741   0.0403   0.0134   0.0134   0.0134
 -9.0490   0.0409   0.0136   0.0136   0.0136
 -9.0240   0.0415   0.0138   0.0138   0.0138
 -8.9990   0.0422   0.0141   0.0141   0.0141
 -8.9740   0.0428   0.0143   0.0143   0.0143
 -8.9489   0.0435   0.0145   0.0145   0.0145
 -8.9239   0.0442   0.0147   0.0147   0.0147
 -8.8989   0.0449   0.0150   0.0150   0.0150
 -8.8739   0.0457   0.0152   0.0152   0.0152
 -8.8488   0.0464   0.0155   0.0155   0.0155
 -8.8238   0.0472   0.0157   0.0157   0.0157
 -8.7988   0.0480   0.0160   0.0160   0.0160
 -8.7738   0.0488   0.0163   0.0163   0.0163
 -8.7487   0.0497   0.0166   0.0166   0.0166
 -8.7237   0.0505   0.0168   0.0168   0.0168
 -8.6987   0.0514   0.0171   0.0171   0.0171
 -8.6737   0.0523   0.0174   0.0174   0.0174
 -8.6486   0.0533   0.0178   0.0178   0.0178
 -8.6236   0.0542   0.0181   0.0181   0.0181
 -8.5986   0.0552   0.0184   0.0184   0.0184
 -8.5736   0.0562   0.0187   0.0187   0.0187
 -8.5485   0.0573   0.0191   0.0191   0.0191
 -8.5235   0.0583   0.0194   0.0194   0.0194
 -8.4985   0.0595   0.0198   0.0198   0.0198
 -8.4735   0.0606   0.0202   0.0202   0.0202
 -8.4484   0.0618   0.0206   0.0206   0.0206
 -8.4234   0.0630   0.0210   0.0210   0.0210
 -8.3984   0.0642   0.0214   0.0214   0.0214
 -8.3734   0.0655   0.0218   0.0218   0.0218
 -8.3483   0.0668   0.0223   0.0223   0.0223
 -8.3233   0.0682   0.0227   0.0227   0.0227
 -8.2983   0.0696   0.0232   0.0232   0.0232
 -8.2733   0.0710   0.0237   0.0237   0.0237
 -8.2482   0.0725   0.0242   0.0242   0.0242
 -8.2232   0.0741   0.0247   0.0247   0.0247
 -8.1982   0.0756   0.0252   0.0252   0.0252
 -8.1732   0.0773   0.0258   0.0258   0.0258
 -8.1481   0.0790   0.0263   0.0263   0.0263
 -8.1231   0.0808   0.0269   0.0269   0.0269
 -8.0981   0.0826   0.0275   0.0275   0.0275
 -8.0731   0.0845   0.0282   0.0282   0.0282
 -8.0480   0.0864   0.0288   0.0288   0.0288
 -8.0230   0.0884   0.0295   0.0295   0.0295
 -7.9980   0.0905   0.0302   0.0302   0.0302
 -7.9730   0.0927   0.0309   0.0309   0.0309
 -7.9479   0.0950   0.0317   0.0317   0.0317
 -7.9229   0.0973   0.0324   0.0324   0.0324
 -7.8979   0.0997   0.0332   0.0332   0.0332
 -7.8729   0.1022   0.0341   0.0341   0.0341
 -7.8478   0.1049   0.0350   0.0350   0.0350
 -7.8228   0.1076   0.0359   0.0359   0.0359
 -7.7978   0.1104   0.0368   0.0368   0.0368
 -7.7728   0.1134   0.0378   0.0378   0.0378
 -7.7477   0.1165   0.0388   0.0388   0.0388
 -7.7227   0.1197   0.0399   0.0399   0.0399
 -7.6977   0.1230   0.0410   0.0410   0.0410
 -7.6727   0.1265   0.0422   0.0422   0.0422
 -7.6476   0.1301   0.0434   0.0434   0.0434
 -7.6226   0.1339   0.0446   0.0446   0.0446
 -7.5976   0.1379   0.0460   0.0460   0.0460
 -7.5726   0.1420   0.0473   0.0473   0.0473
 -7.5475   0.1464   0.0488   0.0488   0.0488
 -7.5225   0.1510   0.0503   0.0503   0.0503
 -7.4975   0.1557   0.0519   0.0519   0.0519
 -7.4725   0.1608   0.0536   0.0536   0.0536
 -7.4474   0.1660   0.0553   0.0553   0.0553
 -7.4224   0.1716   0.0572   0.0572   0.0572
 -7.3974   0.1774   0.0591   0.0591   0.0591
 -7.3724   0.1835   0.0612   0.0612   0.0612
 -7.3473   0.1900   0.0633   0.0633   0.0633
 -7.3223   0.1968   0.0656   0.0656   0.0656
 -7.2973   0.2040   0.0680   0.0680   0.0680
 -7.2723   0.2116   0.0705   0.0705   0.0705
 -7.2472   0.2196   0.0732   0.0732   0.0732
 -7.2222   0.2282   0.0761   0.0761   0.0761
 -7.1972   0.2372   0.0791   0.0791   0.0791
 -7.1722   0.2468   0.0823   0.0823   0.0823
 -7.1471   0.2570   0.0857   0.0857   0.0857
 -7.1221   0.2679   0.0893   0.0893   0.0893
 -7.0971   0.2795   0.0932   0.0932   0.0932
 -7.0721   0.2918   0.0973   0.0973   0.0973
 -7.0470   0.3051   0.1017   0.1017   0.1017
 -7.0220   0.3192   0.1064   0.1064   0.1064
 -6.9970   0.3344   0.1115   0.1115   0.1115
 -6.9720   0.3507   0.1169   0.1169   0.1169
 -6.9469   0.3683   0.1228   0.1228   0.1228
 -6.9219   0.3872   0.1291   0.1291   0.1291
 -6.8969   0.4076   0.1359   0.1359   0.1359
 -6.8719   0.4298   0.1433   0.1433   0.1433
 -6.8468   0.4538   0.1513   0.1513   0.1513
 -6.8218   0.4799   0.1599   0.1599   0.1600
 -6.7968   0.5083   0.1694   0.1694   0.1695
 -6.7718   0.5394   0.1798   0.1798   0.1798
 -6.7467   0.5734   0.1911   0.1911   0.1911
 -6.7217   0.6107   0.2036   0.2036   0.2036
 -6.6967   0.6518   0.2173   0.2173   0.2173
 -6.6717   0.6973   0.2324   0.2324   0.2325
 -6.6466   0.7476   0.2492   0.2492   0.2492
 -6.6216   0.8035   0.2678   0.2678   0.2679
 -6.5966   0.8659   0.2886   0.2886   0.2887
 -6.5716   0.9357   0.3119   0.3119   0.3120
 -6.5465   1.0141   0.3380   0.3380   0.3382
 -6.5215   1.1026   0.3675   0.3675   0.3677
 -6.4965   1.2027   0.4008   0.4008   0.4011
 -6.4715   1.3164   0.4387   0.4387   0.4390
 -6.4464   1.4462   0.4819   0.4819   0.4823
 -6.4214   1.5947   0.5314   0.5314   0.5319
 -6.3964   1.7653   0.5882   0.5882   0.5888
 -6.3714   1.9617   0.6537   0.6537   0.6544
 -6.3463   2.1882   0.7291   0.7291   0.7299
 -6.3213   2.4496   0.8162   0.8162   0.8171
 -6.2963   2.7504   0.9165   0.9165   0.9174
 -6.2713   3.0948   1.0313   1.0313   1.0321
 -6.2462   3.4849   1.1615   1.1615   1.1620
 -6.2212   3.9193   1.3065   1.3065   1.3063
 -6.1962   4.3899   1.4639   1.4639   1.4622
 -6.1712   4.8787   1.6276   1.6276   1.6236
 -6.1461   5.3556   1.7877   1.7877   1.7802
 -6.1211   5.7788   1.9303   1.9303   1.9183
 -6.0961   6.1020   2.0397   2.0397   2.0227
 -6.0711   6.2871   2.1028   2.1028   2.0815
 -6.0460   6.3181   2.1138   2.1138   2.0905
 -6.0210   6.2091   2.0770   2.0770   2.0551
 -5.9960   5.9987   2.0050   2.0050   1.9887
 -5.9710   5.7370   1.9147   1.9147   1.9077
 -5.9459   5.4713   1.8220   1.8220   1.8273
 -5.9209   5.2377   1.7395   1.7395   1.7587
 -5.8959   5.0582   1.6750   1.6750   1.7083
 -5.8709   4.9420   1.6319   1.6319   1.6782
 -5.8458   4.8865   1.6101   1.6101   1.6662
 -5.8208   4.8786   1.6061   1.6061   1.6665
 -5.7958   4.8961   1.6128   1.6128   1.6706
 -5.7708   4.9090   1.6206   1.6206   1.6678
 -5.7457   4.8847   1.6181   1.6181   1.6484
 -5.7207   4.7956   1.5952   1.5952   1.6052
 -5.6957   4.6267   1.5453   1.5453   1.5361
 -5.6707   4.3805   1.4682   1.4682   1.4441
 -5.6456   4.0743   1.3692   1.3692   1.3359
 -5.6206   3.7337   1.2570   1.2570   1.2197
 -5.5956   3.3840   1.1405   1.1405   1.1031
 -5.5706   3.0454   1.0269   1.0269   0.9917
 -5.5455   2.7307   0.9209   0.9209   0.8890
 -5.5205   2.4462   0.8248   0.8248   0.7967
 -5.4955   2.1938   0.7394   0.7394   0.7151
 -5.4705   1.9724   0.6644   0.6644   0.6435
 -5.4454   1.7793   0.5990   0.5990   0.5812
 -5.4204   1.6115   0.5422   0.5422   0.5271
 -5.3954   1.4658   0.4928   0.4928   0.4801
 -5.3704   1.3391   0.4499   0.4499   0.4392
 -5.3453   1.2288   0.4126   0.4126   0.4035
 -5.3203   1.1325   0.3800   0.3800   0.3725
 -5.2953   1.0483   0.3515   0.3515   0.3453
 -5.2703   0.9745   0.3265   0.3265   0.3214
 -5.2452   0.9097   0.3046   0.3046   0.3005
 -5.2202   0.8527   0.2853   0.2853   0.2821
 -5.1952   0.8025   0.2683   0.2683   0.2659
 -5.1702   0.7582   0.2533   0.2533   0.2517
 -5.1451   0.7193   0.2401   0.2401   0.2392
 -5.1201   0.6851   0.2284   0.2284   0.2282
 -5.0951   0.6551   0.2182   0.2182   0.2187
 -5.0701   0.6290   0.2093   0.2093   0.2104
 -5.0450   0.6064   0.2015   0.2015   0.2034
 -5.0200   0.5871   0.1948   0.1948   0.1975
 -4.9950   0.5709   0.1892   0.1892   0.1926
 -4.9700   0.5577   0.1845   0.1845   0.1887
 -4.9449   0.5473   0.1807   0.1807   0.1859
 -4.9199   0.5398   0.1779   0.1779   0.1841
 -4.8949   0.5351   0.1759   0.1759   0.1833
 -4.8699   0.5333   0.1748   0.1748   0.1836
 -4.8448   0.5345   0.1747   0.1747   0.1851
 -4.8198   0.5389   0.1756   0.1756   0.1877
 -4.7948   0.5467   0.1775   0.1775   0.1917
 -4.7698   0.5582   0.1805   0.1805   0.1971
 -4.7447   0.5738   0.1848   0.1848   0.2042
 -4.7197   0.5939   0.1904   0.1904   0.2131
 -4.6947   0.6192   0.1976   0.1976   0.2240
 -4.6697   0.6502   0.2066   0.2066   0.2371
 -4.6446   0.6875   0.2175   0.2175   0.2525
 -4.6196   0.7319   0.2308   0.2308   0.2702
 -4.5946   0.7840   0.2468   0.2468   0.2903
 -4.5696   0.8444   0.2659   0.2659   0.3125
 -4.5445   0.9136   0.2886   0.2886   0.3364
 -4.5195   0.9922   0.3153   0.3153   0.3616
 -4.4945   1.0807   0.3464   0.3464   0.3880
 -4.4695   1.1798   0.3821   0.3821   0.4156
 -4.4444   1.2892   0.4224   0.4224   0.4445
