# E  sum  T1  T2  T3 ...
-10.0000   0.0245   0.0082   0.0082   0.0082
 -9.9750   0.0248   0.0083   0.0083   0.0083
 -9.9499   0.0251   0.0084   0.0084   0.0084
 -9.9249   0.0254   0.0085   0.0085   0.0085
 -9.8999   0.0257   0.0086   0.0086   0.0086
 -9.8749   0.0260   0.0087   0.0087   0.0087
 -9.8498   0.0264   0.0088   0.0088   0.0088
 -9.8248   0.0267   0.0089   0.0089   0.0089
 -9.7998   0.0270   0.0090   0.0090   0.0090
 -9.7748   0.0273   0.0091   0.0091   0.0091
 -9.7497   0.0277   0.0092   0.0092   0.0092
 -9.7247   0.0280   0.0093   0.0093   0.0093
 -9.6997   0.0284   0.0095   0.0095   0.0095
 -9.6747   0.0288   0.0096   0.0096   0.0096
 -9.6496   0.0291   0.0097   0.0097   0.0097
 -9.6246   0.0295   0.0098   0.0098   0.0098
 -9.5996   0.0299   0.0100   0.0100   0.0100
 -9.5746   0.0303   0.0101   0.0101   0.0101
 -9.5495   0.0307   0.0102   0.0102   0.0102
 -9.5245   0.0311   0.0104   0.0104   0.0104
 -9.4995   0.0315   0.0105   0.0105   0.0105
 -9.4745   0.0320   0.0107   0.0107   0.0107
 -9.4494   0.0324   0.0108   0.0108   0.0108
 -9.4244   0.0329   0.0110   0.0110   0.0110
 -9.3994   0.0333   0.0111   0.0111   0.0111
 -9.3744   0.0338   0.0113   0.0113   0.0113
 -9.3493   0.0343   0.0114   0.0114   0.0114
 -9.3243   0.0347   0.0116   0.0116   0.0116
 -9.2993   0.0352   0.0117   0.0117   0.0117
 -9.2743   0.0357   0.0119   0.0119   0.0119
 -9.2492   0.0363   0.0121   0.0121   0.0121
 -9.2242   0.0368   0.0123   0.0123   0.0123
 -9.1992   0.0373   0.0124   0.0124   0.0124
 -9.1742   0.0379   0.0126   0.0126   0.0126
 -9.1491   0.0385   0.0128   0.0128   0.0128
 -9.1241   0.0390   0.0130   0.0130   0.0130
 -9.0991   0.0396   0.0132   0.0132   0.0132
 -9.0741   0.0403   0.0134   0.0134   0.0134
 -9.0490   0.0409   0.0136   0.0136   0.0136
 -9.0240   0.0415   0.0138   0.0138   0.0138
 -8.9990   0.0422   0.0141   0.0141   0.0141
 -8.9740   0.0428   0.0143   0.0143   0.0143
 -8.9489   0.0435   0.0145   0.0145   0.0145
 -8.9239   0.0442   0.0147   0.0147   0.0147
 -8.8989   0.0449   0.0150   0.0150   0.0150
 -8.8739   0.0457   0.0152   0.0152   0.0152
 -8.8488   0.0464   0.0155   0.0155   0.0155
 -8.8238   0.0472   0.0157   0.0157   0.0157
 -8.7988   0.0480   0.0160   0.0160   0.0160
 -8.7738   0.0488   0.0163   0.0163   0.0163
 -8.7487   0.0497   0.0166   0.0166   0.0166
 -8.7237   0.0505   0.0168   0.0168   0.0168
 -8.6987   0.0514   0.0171   0.0171   0.0171
 -8.6737   0.0523   0.0174   0.0174   0.0174
 -8.6486   0.0533   0.0178   0.0178   0.0178
 -8.6236   0.0542   0.0181   0.0181   0.0181
 -8.5986   0.0552   0.0184   0.0184   0.0184
 -8.5736   0.0562   0.0187   0.0187   0.0187
 -8.5485   0.0573   0.0191   0.0191   0.0191
 -8.5235   0.0583   0.0194   0.0194   0.0194
 -8.4985   0.0595   0.0198   0.0198   0.0198
 -8.4735   0.0606   0.0202   0.0202   0.0202
 -8.4484   0.0618   0.0206   0.0206   0.0206
 -8.4234   0.0630   0.0210   0.0210   0.0210
 -8.3984   0.0642   0.0214   0.0214   0.0214
 -8.3734   0.0655   0.0218   0.0218   0.0218
 -8.3483   0.0668   0.0223   0.0223   0.0223
 -8.3233   0.0682   0.0227   0.0227   0.0227
 -8.2983   0.0696   0.0232   0.0232   0.0232
 -8.2733   0.0710   0.0237   0.0237   0.0237
 -8.2482   0.0725   0.0242   0.0242   0.0242
 -8.2232   0.0741   0.0247   0.0247   0.0247
 -8.1982   0.0756   0.0252   0.0252   0.0252
 -8.1732   0.0773   0.0258   0.0258   0.0258
 -8.1481   0.0790   0.0263   0.0263   0.0263
 -8.1231   0.0808   0.0269   0.0269   0.0269
 -8.0981   0.0826   0.0275   0.0275   0.0275
 -8.0731   0.0845   0.0282   0.0282   0.0282
 -8.0480   0.0864   0.0288   0.0288   0.0288
 -8.0230   0.0884   0.0295   0.0295   0.0295
 -7.9980   0.0905   0.0302   0.0302   0.0302
 -7.9730   0.0927   0.0309   0.0309   0.0309
 -7.9479   0.0950   0.0317   0.0317   0.0317
 -7.9229   0.0973   0.0324   0.0324   0.0324
 -7.8979   0.0997   0.0332   0.0332   0.0332
 -7.8729   0.1022   0.0341   0.0341   0.0341
 -7.8478   0.1049   0.0350   0.0350   0.0350
 -7.8228   0.1076   0.0359   0.0359   0.0359
 -7.7978   0.1104   0.0368   0.0368   0.0368
 -7.7728   0.1134   0.0378   0.0378   0.0378
 -7.7477   0.1165   0.0388   0.0388   0.0388
 -7.7227   0.1197   0.0399   0.0399   0.0399
 -7.6977   0.1230   0.0410   0.0410   0.0410
 -7.6727   0.1265   0.0422   0.0422   0.0422
 -7.6476   0.1301   0.0434   0.0434   0.0434
 -7.6226   0.1339   0.0446   0.0446   0.0446
 -7.5976   0.1379   0.0460   0.0460   0.0460
 -7.5726   0.1420   0.0474   0.0474   0.0473
 -7.5475   0.1464   0.0488   0.0488   0.0488
 -7.5225   0.1510   0.0503   0.0503   0.0503
 -7.4975   0.1557   0.0519   0.0519   0.0519
 -7.4725   0.1608   0.0536   0.0536   0.0536
 -7.4474   0.1660   0.0553   0.0553   0.0553
 -7.4224   0.1716   0.0572   0.0572   0.0572
 -7.3974   0.1774   0.0591   0.0591   0.0591
 -7.3724   0.1835   0.0612   0.0612   0.0612
 -7.3473   0.1900   0.0633   0.0633   0.0633
 -7.3223   0.1968   0.0656   0.0656   0.0656
 -7.2973   0.2040   0.0680   0.0680   0.0680
 -7.2723   0.2116   0.0705   0.0705   0.0705
 -7.2472   0.2197   0.0732   0.0732   0.0732
 -7.2222   0.2282   0.0761   0.0761   0.0761
 -7.1972   0.2372   0.0791   0.0791   0.0791
 -7.1722   0.2469   0.0823   0.0823   0.0823
 -7.1471   0.2571   0.0857   0.0857   0.0857
 -7.1221   0.2680   0.0893   0.0893   0.0893
 -7.0971   0.2795   0.0932   0.0932   0.0932
 -7.0721   0.2919   0.0973   0.0973   0.0973
 -7.0470   0.3052   0.1017   0.1017   0.1017
 -7.0220   0.3193   0.1064   0.1064   0.1064
 -6.9970   0.3345   0.1115   0.1115   0.1115
 -6.9720   0.3509   0.1170   0.1170   0.1170
 -6.9469   0.3685   0.1228   0.1228   0.1228
 -6.9219   0.3874   0.1291   0.1291   0.1291
 -6.8969   0.4079   0.1360   0.1360   0.1360
 -6.8719   0.4301   0.1434   0.1434   0.1434
 -6.8468   0.4542   0.1514   0.1514   0.1514
 -6.8218   0.4803   0.1601   0.1601   0.1601
 -6.7968   0.5089   0.1696   0.1696   0.1696
 -6.7718   0.5400   0.1800   0.1800   0.1800
 -6.7467   0.5742   0.1914   0.1914   0.1914
 -6.7217   0.6117   0.2039   0.2039   0.2039
 -6.6967   0.6530   0.2177   0.2177   0.2177
 -6.6717   0.6987   0.2329   0.2329   0.2329
 -6.6466   0.7493   0.2498   0.2498   0.2498
 -6.6216   0.8057   0.2686   0.2686   0.2686
 -6.5966   0.8685   0.2895   0.2895   0.2895
 -6.5716   0.9390   0.3130   0.3130   0.3130
 -6.5465   1.0181   0.3394   0.3394   0.3394
 -6.5215   1.1074   0.3691   0.3691   0.3692
 -6.4965   1.2086   0.4029   0.4029   0.4029
 -6.4715   1.3236   0.4412   0.4412   0.4412
 -6.4464   1.4547   0.4849   0.4849   0.4849
 -6.4214   1.6045   0.5348   0.5348   0.5349
 -6.3964   1.7763   0.5921   0.5921   0.5921
 -6.3714   1.9732   0.6577   0.6577   0.6577
 -6.3463   2.1988   0.7329   0.7329   0.7329
 -6.3213   2.4562   0.8187   0.8187   0.8187
 -6.2963   2.7479   0.9160   0.9160   0.9160
 -6.2713   3.0747   1.0249   1.0249   1.0249
 -6.2462   3.4345   1.1448   1.1448   1.1448
 -6.2212   3.8215   1.2738   1.2738   1.2739
 -6.1962   4.2259   1.4086   1.4086   1.4086
 -6.1712   4.6337   1.5445   1.5445   1.5446
 -6.1461   5.0286   1.6762   1.6762   1.6762
 -6.1211   5.3943   1.7981   1.7981   1.7981
 -6.0961   5.7166   1.9055   1.9055   1.9055
 -6.0711   5.9854   1.9951   1.9951   1.9952
 -6.0460   6.1947   2.0649   2.0649   2.0649
 -6.0210   6.3403   2.1134   2.1134   2.1135
 -5.9960   6.4172   2.1391   2.1391   2.1391
 -5.9710   6.4196   2.1398   2.1398   2.1399
 -5.9459   6.3451   2.1150   2.1150   2.1150
 -5.9209   6.2004   2.0668   2.0668   2.0668
 -5.8959   6.0031   2.0010   2.0010   2.0010
 -5.8709   5.7761   1.9254   1.9254   1.9253
 -5.8458   5.5397   1.8466   1.8466   1.8465
 -5.8208   5.3040   1.7681   1.7681   1.7679
 -5.7958   5.0671   1.6891   1.6891   1.6889
 -5.7708   4.8189   1.6064   1.6064   1.6061
 -5.7457   4.5480   1.5161   1.5161   1.5158
 -5.7207   4.2494   1.4166   1.4166   1.4163
 -5.6957   3.9277   1.3093   1.3093   1.3090
 -5.6707   3.5949   1.1984   1.1984   1.1981
 -5.6456   3.2661   1.0888   1.0888   1.0886
 -5.6206   2.9543   0.9848   0.9848   0.9846
 -5.5956   2.6682   0.8895   0.8895   0.8893
 -5.5706   2.4123   0.8041   0.8041   0.8040
 -5.5455   2.1874   0.7292   0.7292   0.7290
 -5.5205   1.9925   0.6642   0.6642   0.6641
 -5.4955   1.8253   0.6085   0.6085   0.6084
 -5.4705   1.6832   0.5611   0.5611   0.5610
 -5.4454   1.5636   0.5212   0.5212   0.5211
 -5.4204   1.4641   0.4881   0.4881   0.4880
 -5.3954   1.3828   0.4609   0.4609   0.4609
 -5.3704   1.3180   0.4394   0.4394   0.4393
 -5.3453   1.2685   0.4229   0.4229   0.4228
 -5.3203   1.2331   0.4110   0.4110   0.4110
 -5.2953   1.2104   0.4035   0.4035   0.4035
 -5.2703   1.1990   0.3997   0.3997   0.3997
 -5.2452   1.1965   0.3988   0.3988   0.3988
 -5.2202   1.1995   0.3998   0.3998   0.3999
 -5.1952   1.2035   0.4012   0.4012   0.4012
 -5.1702   1.2028   0.4009   0.4009   0.4010
 -5.1451   1.1921   0.3974   0.3974   0.3974
 -5.1201   1.1675   0.3892   0.3892   0.3892
 -5.0951   1.1284   0.3761   0.3761   0.3761
 -5.0701   1.0769   0.3590   0.3590   0.3590
 -5.0450   1.0177   0.3392   0.3392   0.3392
 -5.0200   0.9556   0.3185   0.3185   0.3185
 -4.9950   0.8949   0.2983   0.2983   0.2983
 -4.9700   0.8386   0.2795   0.2795   0.2795
 -4.9449   0.7882   0.2627   0.2627   0.2627
 -4.9199   0.7444   0.2481   0.2481   0.2481
 -4.8949   0.7073   0.2358   0.2358   0.2358
 -4.8699   0.6766   0.2255   0.2255   0.2256
 -4.8448   0.6520   0.2173   0.2173   0.2173
 -4.8198   0.6330   0.2110   0.2110   0.2110
 -4.7948   0.6192   0.2064   0.2064   0.2064
 -4.7698   0.6107   0.2036   0.2036   0.2036
 -4.7447   0.6072   0.2024   0.2024   0.2024
 -4.7197   0.6089   0.2030   0.2030   0.2030
 -4.6947   0.6157   0.2052   0.2052   0.2052
 -4.6697   0.6277   0.2092   0.2092   0.2092
 -4.6446   0.6445   0.2148   0.2148   0.2148
 -4.6196   0.6656   0.2219   0.2219   0.2219
 -4.5946   0.6899   0.2300   0.2300   0.2300
 -4.5696   0.7158   0.2386   0.2386   0.2386
 -4.5445   0.7413   0.2471   0.2471   0.2471
 -4.5195   0.7645   0.2548   0.2548   0.2548
 -4.4945   0.7842   0.2614   0.2614   0.2614
 -4.4695   0.8010   0.2670   0.2670   0.2670
 -4.4444   0.8166   0.2722   0.2722   0.2722
