# E  sum  T1  T2  T3 ...
-10.0000   0.0245   0.0082   0.0082   0.0082
 -9.9750   0.0248   0.0083   0.0083   0.0083
 -9.9499   0.0251   0.0084   0.0084   0.0084
 -9.9249   0.0254   0.0085   0.0085   0.0085
 -9.8999   0.0257   0.0086   0.0086   0.0086
 -9.8749   0.0260   0.0087   0.0087   0.0087
 -9.8498   0.0264   0.0088   0.0088   0.0088
 -9.8248   0.0267   0.0089   0.0089   0.0089
 -9.7998   0.0270   0.0090   0.0090   0.0090
 -9.7748   0.0273   0.0091   0.0091   0.0091
 -9.7497   0.0277   0.0092   0.0092   0.0092
 -9.7247   0.0280   0.0093   0.0093   0.0093
 -9.6997   0.0284   0.0095   0.0095   0.0095
 -9.6747   0.0288   0.0096   0.0096   0.0096
 -9.6496   0.0291   0.0097   0.0097   0.0097
 -9.6246   0.0295   0.0098   0.0098   0.0098
 -9.5996   0.0299   0.0100   0.0100   0.0100
 -9.5746   0.0303   0.0101   0.0101   0.0101
 -9.5495   0.0307   0.0102   0.0102   0.0102
 -9.5245   0.0311   0.0104   0.0104   0.0104
 -9.4995   0.0315   0.0105   0.0105   0.0105
 -9.4745   0.0320   0.0107   0.0107   0.0107
 -9.4494   0.0324   0.0108   0.0108   0.0108
 -9.4244   0.0329   0.0110   0.0110   0.0110
 -9.3994   0.0333   0.0111   0.0111   0.0111
 -9.3744   0.0338   0.0113   0.0113   0.0113
 -9.3493   0.0343   0.0114   0.0114   0.0114
 -9.3243   0.0347   0.0116   0.0116   0.0116
 -9.2993   0.0352   0.0117   0.0117   0.0117
 -9.2743   0.0357   0.0119   0.0119   0.0119
 -9.2492   0.0363   0.0121   0.0121   0.0121
 -9.2242   0.0368   0.0123   0.0123   0.0123
 -9.1992   0.0373   0.0124   0.0124   0.0124
 -9.1742   0.0379   0.0126   0.0126   0.0126
 -9.1491   0.0385   0.0128   0.0128   0.0128
 -9.1241   0.0390   0.0130   0.0130   0.0130
 -9.0991   0.0396   0.0132   0.0132   0.0132
 -9.0741   0.0403   0.0134   0.0134   0.0134
 -9.0490   0.0409   0.0136   0.0136   0.0136
 -9.0240   0.0415   0.0138   0.0138   0.0138
 -8.9990   0.0422   0.0141   0.0141   0.0141
 -8.9740   0.0428   0.0143   0.0143   0.0143
 -8.9489   0.0435   0.0145   0.0145   0.0145
 -8.9239   0.0442   0.0147   0.0147   0.0147
 -8.8989   0.0449   0.0150   0.0150   0.0150
 -8.8739   0.0457   0.0152   0.0152   0.0152
 -8.8488   0.0464   0.0155   0.0155   0.0155
 -8.8238   0.0472   0.0157   0.0157   0.0157
 -8.7988   0.0480   0.0160   0.0160   0.0160
 -8.7738   0.0488   0.0163   0.0163   0.0163
 -8.7487   0.0497   0.0166   0.0166   0.0166
 -8.7237   0.0505   0.0168   0.0168   0.0168
 -8.6987   0.0514   0.0171   0.0171   0.0171
 -8.6737   0.0523   0.0174   0.0174   0.0174
 -8.6486   0.0533   0.0178   0.0178   0.0178
 -8.6236   0.0542   0.0181   0.0181   0.0181
 -8.5986   0.0552   0.0184   0.0184   0.0184
 -8.5736   0.0562   0.0187   0.0187   0.0187
 -8.5485   0.0573   0.0191   0.0191   0.0191
 -8.5235   0.0583   0.0194   0.0194   0.0194
 -8.4985   0.0595   0.0198   0.0198   0.0198
 -8.4735   0.0606   0.0202   0.0202   0.0202
 -8.4484   0.0618   0.0206   0.0206   0.0206
 -8.4234   0.0630   0.0210   0.0210   0.0210
 -8.3984   0.0642   0.0214   0.0214   0.0214
 -8.3734   0.0655   0.0218   0.0218   0.0218
 -8.3483   0.0668   0.0223   0.0223   0.0223
 -8.3233   0.0682   0.0227   0.0227   0.0227
 -8.2983   0.0696   0.0232   0.0232   0.0232
 -8.2733   0.0710   0.0237   0.0237   0.0237
 -8.2482   0.0725   0.0242   0.0242   0.0242
 -8.2232   0.0741   0.0247   0.0247   0.0247
 -8.1982   0.0756   0.0252   0.0252   0.0252
 -8.1732   0.0773   0.0258   0.0258   0.0258
 -8.1481   0.0790   0.0263   0.0263   0.0263
 -8.1231   0.0808   0.0269   0.0269   0.0269
 -8.0981   0.0826   0.0275   0.0275   0.0275
 -8.0731   0.0845   0.0282   0.0282   0.0282
 -8.0480   0.0864   0.0288   0.0288   0.0288
 -8.0230   0.0884   0.0295   0.0295   0.0295
 -7.9980   0.0905   0.0302   0.0302   0.0302
 -7.9730   0.0927   0.0309   0.0309   0.0309
 -7.9479   0.0950   0.0317   0.0317   0.0317
 -7.9229   0.0973   0.0324   0.0324   0.0324
 -7.8979   0.0997   0.0332   0.0332   0.0332
 -7.8729   0.1022   0.0341   0.0341   0.0341
 -7.8478   0.1049   0.0350   0.0350   0.0350
 -7.8228   0.1076   0.0359   0.0359   0.0359
 -7.7978   0.1104   0.0368   0.0368   0.0368
 -7.7728   0.1134   0.0378   0.0378   0.0378
 -7.7477   0.1165   0.0388   0.0388   0.0388
 -7.7227   0.1197   0.0399   0.0399   0.0399
 -7.6977   0.1230   0.0410   0.0410   0.0410
 -7.6727   0.1265   0.0422   0.0422   0.0422
 -7.6476   0.1301   0.0434   0.0434   0.0434
 -7.6226   0.1339   0.0446   0.0446   0.0446
 -7.5976   0.1379   0.0460   0.0460   0.0460
 -7.5726   0.1420   0.0474   0.0474   0.0473
 -7.5475   0.1464   0.0488   0.0488   0.0488
 -7.5225   0.1510   0.0503   0.0503   0.0503
 -7.4975   0.1557   0.0519   0.0519   0.0519
 -7.4725   0.1608   0.0536   0.0536   0.0536
 -7.4474   0.1660   0.0553   0.0553   0.0553
 -7.4224   0.1716   0.0572   0.0572   0.0572
 -7.3974   0.1774   0.0591   0.0591   0.0591
 -7.3724   0.1835   0.0612   0.0612   0.0612
 -7.3473   0.1900   0.0633   0.0633   0.0633
 -7.3223   0.1968   0.0656   0.0656   0.0656
 -7.2973   0.2040   0.0680   0.0680   0.0680
 -7.2723   0.2116   0.0705   0.0705   0.0705
 -7.2472   0.2197   0.0732   0.0732   0.0732
 -7.2222   0.2282   0.0761   0.0761   0.0761
 -7.1972   0.2372   0.0791   0.0791   0.0791
 -7.1722   0.2469   0.0823   0.0823   0.0823
 -7.1471   0.2571   0.0857   0.0857   0.0857
 -7.1221   0.2680   0.0893   0.0893   0.0893
 -7.0971   0.2795   0.0932   0.0932   0.0932
 -7.0721   0.2919   0.0973   0.0973   0.0973
 -7.0470   0.3052   0.1017   0.1017   0.1017
 -7.0220   0.3193   0.1064   0.1064   0.1064
 -6.9970   0.3345   0.1115   0.1115   0.1115
 -6.9720   0.3509   0.1170   0.1170   0.1170
 -6.9469   0.3685   0.1228   0.1228   0.1228
 -6.9219   0.3874   0.1291   0.1291   0.1291
 -6.8969   0.4079   0.1360   0.1360   0.1360
 -6.8719   0.4301   0.1434   0.1434   0.1434
 -6.8468   0.4542   0.1514   0.1514   0.1514
 -6.8218   0.4803   0.1601   0.1601   0.1601
 -6.7968   0.5089   0.1696   0.1696   0.1696
 -6.7718   0.5400   0.1800   0.1800   0.1800
 -6.7467   0.5742   0.1914   0.1914   0.1914
 -6.7217   0.6117   0.2039   0.2039   0.2039
 -6.6967   0.6530   0.2177   0.2177   0.2177
 -6.6717   0.6987   0.2329   0.2329   0.2329
 -6.6466   0.7493   0.2498   0.2498   0.2498
 -6.6216   0.8057   0.2686   0.2686   0.2686
 -6.5966   0.8685   0.2895   0.2895   0.2895
 -6.5716   0.9390   0.3130   0.3130   0.3130
 -6.5465   1.0181   0.3394   0.3394   0.3394
 -6.5215   1.1075   0.3691   0.3691   0.3692
 -6.4965   1.2086   0.4029   0.4029   0.4029
 -6.4715   1.3236   0.4412   0.4412   0.4412
 -6.4464   1.4547   0.4849   0.4849   0.4849
 -6.4214   1.6046   0.5349   0.5349   0.5349
 -6.3964   1.7764   0.5921   0.5921   0.5921
 -6.3714   1.9734   0.6578   0.6578   0.6578
 -6.3463   2.1991   0.7331   0.7331   0.7330
 -6.3213   2.4567   0.8190   0.8190   0.8188
 -6.2963   2.7487   0.9163   0.9163   0.9161
 -6.2713   3.0755   1.0253   1.0253   1.0250
 -6.2462   3.4348   1.1450   1.1450   1.1448
 -6.2212   3.8204   1.2735   1.2735   1.2735
 -6.1962   4.2215   1.4069   1.4069   1.4076
 -6.1712   4.6245   1.5408   1.5408   1.5429
 -6.1461   5.0149   1.6703   1.6703   1.6743
 -6.1211   5.3804   1.7917   1.7917   1.7971
 -6.0961   5.7112   1.9021   1.9021   1.9069
 -6.0711   5.9975   1.9989   1.9989   1.9998
 -6.0460   6.2275   2.0778   2.0778   2.0718
 -6.0210   6.3863   2.1333   2.1333   2.1197
 -5.9960   6.4604   2.1594   2.1594   2.1416
 -5.9710   6.4437   2.1533   2.1533   2.1371
 -5.9459   6.3416   2.1167   2.1167   2.1081
 -5.9209   6.1712   2.0563   2.0563   2.0585
 -5.8959   5.9571   1.9815   1.9815   1.9940
 -5.8709   5.7241   1.9015   1.9015   1.9212
 -5.8458   5.4909   1.8228   1.8228   1.8452
 -5.8208   5.2651   1.7481   1.7481   1.7689
 -5.7958   5.0424   1.6756   1.6756   1.6913
 -5.7708   4.8105   1.6007   1.6007   1.6092
 -5.7457   4.5558   1.5184   1.5184   1.5190
 -5.7207   4.2710   1.4259   1.4259   1.4193
 -5.6957   3.9591   1.3237   1.3237   1.3117
 -5.6707   3.6315   1.2155   1.2155   1.2004
 -5.6456   3.3036   1.1066   1.1066   1.0905
 -5.6206   2.9896   1.0017   1.0017   0.9861
 -5.5956   2.6993   0.9044   0.9044   0.8904
 -5.5706   2.4379   0.8166   0.8166   0.8048
 -5.5455   2.2073   0.7389   0.7389   0.7295
 -5.5205   2.0065   0.6711   0.6711   0.6642
 -5.4955   1.8336   0.6127   0.6127   0.6082
 -5.4705   1.6859   0.5627   0.5627   0.5606
 -5.4454   1.5607   0.5202   0.5202   0.5204
 -5.4204   1.4558   0.4845   0.4845   0.4869
 -5.3954   1.3689   0.4547   0.4547   0.4594
 -5.3704   1.2984   0.4305   0.4305   0.4374
 -5.3453   1.2428   0.4112   0.4112   0.4205
 -5.3203   1.2011   0.3964   0.3964   0.4083
 -5.2953   1.1722   0.3859   0.3859   0.4004
 -5.2703   1.1548   0.3793   0.3793   0.3963
 -5.2452   1.1475   0.3761   0.3761   0.3953
 -5.2202   1.1482   0.3758   0.3758   0.3966
 -5.1952   1.1537   0.3776   0.3776   0.3985
 -5.1702   1.1601   0.3803   0.3803   0.3995
 -5.1451   1.1627   0.3826   0.3826   0.3975
 -5.1201   1.1575   0.3833   0.3833   0.3910
 -5.0951   1.1416   0.3810   0.3810   0.3795
 -5.0701   1.1138   0.3751   0.3751   0.3635
 -5.0450   1.0749   0.3653   0.3653   0.3443
 -5.0200   1.0271   0.3517   0.3517   0.3236
 -4.9950   0.9732   0.3351   0.3351   0.3029
 -4.9700   0.9165   0.3166   0.3166   0.2834
 -4.9449   0.8603   0.2973   0.2973   0.2658
 -4.9199   0.8070   0.2784   0.2784   0.2503
 -4.8949   0.7585   0.2607   0.2607   0.2370
 -4.8699   0.7157   0.2448   0.2448   0.2261
 -4.8448   0.6789   0.2308   0.2308   0.2172
 -4.8198   0.6482   0.2189   0.2189   0.2104
 -4.7948   0.6233   0.2089   0.2089   0.2054
 -4.7698   0.6040   0.2008   0.2008   0.2024
 -4.7447   0.5900   0.1944   0.1944   0.2011
 -4.7197   0.5810   0.1897   0.1897   0.2016
 -4.6947   0.5768   0.1865   0.1865   0.2038
 -4.6697   0.5774   0.1848   0.1848   0.2078
 -4.6446   0.5826   0.1847   0.1847   0.2133
 -4.6196   0.5923   0.1860   0.1860   0.2203
 -4.5946   0.6061   0.1889   0.1889   0.2283
 -4.5696   0.6238   0.1935   0.1935   0.2367
 -4.5445   0.6449   0.2000   0.2000   0.2450
 -4.5195   0.6692   0.2084   0.2084   0.2524
 -4.4945   0.6969   0.2191   0.2191   0.2587
 -4.4695   0.7286   0.2324   0.2324   0.2639
 -4.4444   0.7655   0.2484   0.2484   0.2686
