# E  sum  T1  T2  T3 ...
-10.0000   0.0239   0.0080   0.0080   0.0080
 -9.9750   0.0242   0.0081   0.0081   0.0081
 -9.9499   0.0245   0.0081   0.0081   0.0082
 -9.9249   0.0247   0.0082   0.0082   0.0083
 -9.8999   0.0250   0.0083   0.0083   0.0083
 -9.8749   0.0253   0.0084   0.0084   0.0084
 -9.8498   0.0256   0.0085   0.0085   0.0085
 -9.8248   0.0259   0.0086   0.0086   0.0086
 -9.7998   0.0262   0.0087   0.0087   0.0088
 -9.7748   0.0266   0.0088   0.0088   0.0089
 -9.7497   0.0269   0.0090   0.0090   0.0090
 -9.7247   0.0272   0.0091   0.0091   0.0091
 -9.6997   0.0275   0.0092   0.0092   0.0092
 -9.6747   0.0279   0.0093   0.0093   0.0093
 -9.6496   0.0282   0.0094   0.0094   0.0094
 -9.6246   0.0286   0.0095   0.0095   0.0095
 -9.5996   0.0289   0.0096   0.0096   0.0097
 -9.5746   0.0293   0.0098   0.0098   0.0098
 -9.5495   0.0297   0.0099   0.0099   0.0099
 -9.5245   0.0301   0.0100   0.0100   0.0100
 -9.4995   0.0305   0.0101   0.0101   0.0102
 -9.4745   0.0309   0.0103   0.0103   0.0103
 -9.4494   0.0313   0.0104   0.0104   0.0104
 -9.4244   0.0317   0.0106   0.0106   0.0106
 -9.3994   0.0321   0.0107   0.0107   0.0107
 -9.3744   0.0325   0.0108   0.0108   0.0109
 -9.3493   0.0330   0.0110   0.0110   0.0110
 -9.3243   0.0334   0.0111   0.0111   0.0111
 -9.2993   0.0339   0.0113   0.0113   0.0113
 -9.2743   0.0343   0.0114   0.0114   0.0115
 -9.2492   0.0348   0.0116   0.0116   0.0116
 -9.2242   0.0353   0.0118   0.0118   0.0118
 -9.1992   0.0358   0.0119   0.0119   0.0119
 -9.1742   0.0363   0.0121   0.0121   0.0121
 -9.1491   0.0368   0.0123   0.0123   0.0123
 -9.1241   0.0374   0.0124   0.0124   0.0125
 -9.0991   0.0379   0.0126   0.0126   0.0126
 -9.0741   0.0385   0.0128   0.0128   0.0128
 -9.0490   0.0390   0.0130   0.0130   0.0130
 -9.0240   0.0396   0.0132   0.0132   0.0132
 -8.9990   0.0402   0.0134   0.0134   0.0134
 -8.9740   0.0408   0.0136   0.0136   0.0136
 -8.9489   0.0414   0.0138   0.0138   0.0138
 -8.9239   0.0421   0.0140   0.0140   0.0140
 -8.8989   0.0427   0.0142   0.0142   0.0143
 -8.8739   0.0434   0.0144   0.0144   0.0145
 -8.8488   0.0440   0.0147   0.0147   0.0147
 -8.8238   0.0447   0.0149   0.0149   0.0149
 -8.7988   0.0455   0.0151   0.0151   0.0152
 -8.7738   0.0462   0.0154   0.0154   0.0154
 -8.7487   0.0469   0.0156   0.0156   0.0157
 -8.7237   0.0477   0.0159   0.0159   0.0159
 -8.6987   0.0485   0.0161   0.0161   0.0162
 -8.6737   0.0493   0.0164   0.0164   0.0165
 -8.6486   0.0501   0.0167   0.0167   0.0167
 -8.6236   0.0510   0.0170   0.0170   0.0170
 -8.5986   0.0518   0.0173   0.0173   0.0173
 -8.5736   0.0527   0.0176   0.0176   0.0176
 -8.5485   0.0536   0.0179   0.0179   0.0179
 -8.5235   0.0546   0.0182   0.0182   0.0182
 -8.4985   0.0555   0.0185   0.0185   0.0185
 -8.4735   0.0565   0.0188   0.0188   0.0189
 -8.4484   0.0575   0.0192   0.0192   0.0192
 -8.4234   0.0586   0.0195   0.0195   0.0196
 -8.3984   0.0596   0.0199   0.0199   0.0199
 -8.3734   0.0607   0.0202   0.0202   0.0203
 -8.3483   0.0619   0.0206   0.0206   0.0207
 -8.3233   0.0630   0.0210   0.0210   0.0210
 -8.2983   0.0642   0.0214   0.0214   0.0215
 -8.2733   0.0655   0.0218   0.0218   0.0219
 -8.2482   0.0667   0.0222   0.0222   0.0223
 -8.2232   0.0680   0.0227   0.0227   0.0227
 -8.1982   0.0694   0.0231   0.0231   0.0232
 -8.1732   0.0708   0.0236   0.0236   0.0236
 -8.1481   0.0722   0.0240   0.0240   0.0241
 -8.1231   0.0737   0.0245   0.0245   0.0246
 -8.0981   0.0752   0.0250   0.0250   0.0251
 -8.0731   0.0767   0.0256   0.0256   0.0256
 -8.0480   0.0783   0.0261   0.0261   0.0262
 -8.0230   0.0800   0.0266   0.0266   0.0267
 -7.9980   0.0817   0.0272   0.0272   0.0273
 -7.9730   0.0835   0.0278   0.0278   0.0279
 -7.9479   0.0853   0.0284   0.0284   0.0285
 -7.9229   0.0872   0.0290   0.0290   0.0291
 -7.8979   0.0892   0.0297   0.0297   0.0298
 -7.8729   0.0912   0.0304   0.0304   0.0305
 -7.8478   0.0933   0.0311   0.0311   0.0312
 -7.8228   0.0955   0.0318   0.0318   0.0319
 -7.7978   0.0977   0.0325   0.0325   0.0327
 -7.7728   0.1000   0.0333   0.0333   0.0334
 -7.7477   0.1024   0.0341   0.0341   0.0342
 -7.7227   0.1049   0.0349   0.0349   0.0351
 -7.6977   0.1075   0.0358   0.0358   0.0359
 -7.6727   0.1102   0.0367   0.0367   0.0368
 -7.6476   0.1130   0.0376   0.0376   0.0378
 -7.6226   0.1159   0.0386   0.0386   0.0388
 -7.5976   0.1189   0.0396   0.0396   0.0398
 -7.5726   0.1220   0.0406   0.0406   0.0408
 -7.5475   0.1253   0.0417   0.0417   0.0419
 -7.5225   0.1286   0.0428   0.0428   0.0430
 -7.4975   0.1322   0.0440   0.0440   0.0442
 -7.4725   0.1358   0.0452   0.0452   0.0454
 -7.4474   0.1396   0.0465   0.0465   0.0467
 -7.4224   0.1436   0.0478   0.0478   0.0481
 -7.3974   0.1478   0.0492   0.0492   0.0495
 -7.3724   0.1521   0.0506   0.0506   0.0509
 -7.3473   0.1567   0.0521   0.0521   0.0524
 -7.3223   0.1614   0.0537   0.0537   0.0540
 -7.2973   0.1663   0.0553   0.0553   0.0557
 -7.2723   0.1715   0.0570   0.0570   0.0575
 -7.2472   0.1770   0.0588   0.0588   0.0593
 -7.2222   0.1827   0.0607   0.0607   0.0612
 -7.1972   0.1886   0.0627   0.0627   0.0632
 -7.1722   0.1949   0.0648   0.0648   0.0653
 -7.1471   0.2015   0.0670   0.0670   0.0675
 -7.1221   0.2084   0.0693   0.0693   0.0699
 -7.0971   0.2157   0.0717   0.0717   0.0723
 -7.0721   0.2234   0.0742   0.0742   0.0749
 -7.0470   0.2315   0.0769   0.0769   0.0777
 -7.0220   0.2400   0.0798   0.0798   0.0805
 -6.9970   0.2491   0.0827   0.0827   0.0836
 -6.9720   0.2586   0.0859   0.0859   0.0868
 -6.9469   0.2687   0.0892   0.0892   0.0902
 -6.9219   0.2794   0.0928   0.0928   0.0938
 -6.8969   0.2907   0.0965   0.0965   0.0977
 -6.8719   0.3028   0.1005   0.1005   0.1017
 -6.8468   0.3156   0.1048   0.1048   0.1061
 -6.8218   0.3292   0.1093   0.1093   0.1107
 -6.7968   0.3437   0.1141   0.1141   0.1156
 -6.7718   0.3592   0.1192   0.1192   0.1209
 -6.7467   0.3758   0.1246   0.1246   0.1265
 -6.7217   0.3935   0.1305   0.1305   0.1325
 -6.6967   0.4125   0.1368   0.1368   0.1389
 -6.6717   0.4328   0.1435   0.1435   0.1459
