# E  sum  T1  T2  T3 ...
-10.0000   0.0245   0.0082   0.0082   0.0082
 -9.9750   0.0248   0.0083   0.0083   0.0083
 -9.9499   0.0251   0.0084   0.0084   0.0084
 -9.9249   0.0254   0.0085   0.0085   0.0085
 -9.8999   0.0257   0.0086   0.0086   0.0086
 -9.8749   0.0260   0.0087   0.0087   0.0087
 -9.8498   0.0264   0.0088   0.0088   0.0088
 -9.8248   0.0267   0.0089   0.0089   0.0089
 -9.7998   0.0270   0.0090   0.0090   0.0090
 -9.7748   0.0273   0.0091   0.0091   0.0091
 -9.7497   0.0277   0.0092   0.0092   0.0092
 -9.7247   0.0280   0.0093   0.0093   0.0093
 -9.6997   0.0284   0.0095   0.0095   0.0095
 -9.6747   0.0288   0.0096   0.0096   0.0096
 -9.6496   0.0291   0.0097   0.0097   0.0097
 -9.6246   0.0295   0.0098   0.0098   0.0098
 -9.5996   0.0299   0.0100   0.0100   0.0100
 -9.5746   0.0303   0.0101   0.0101   0.0101
 -9.5495   0.0307   0.0102   0.0102   0.0102
 -9.5245   0.0311   0.0104   0.0104   0.0104
 -9.4995   0.0315   0.0105   0.0105   0.0105
 -9.4745   0.0320   0.0107   0.0107   0.0107
 -9.4494   0.0324   0.0108   0.0108   0.0108
 -9.4244   0.0328   0.0109   0.0109   0.0109
 -9.3994   0.0333   0.0111   0.0111   0.0111
 -9.3744   0.0338   0.0113   0.0113   0.0113
 -9.3493   0.0342   0.0114   0.0114   0.0114
 -9.3243   0.0347   0.0116   0.0116   0.0116
 -9.2993   0.0352   0.0117   0.0117   0.0117
 -9.2743   0.0357   0.0119   0.0119   0.0119
 -9.2492   0.0363   0.0121   0.0121   0.0121
 -9.2242   0.0368   0.0123   0.0123   0.0123
 -9.1992   0.0373   0.0124   0.0124   0.0124
 -9.1742   0.0379   0.0126   0.0126   0.0126
 -9.1491   0.0385   0.0128   0.0128   0.0128
 -9.1241   0.0390   0.0130   0.0130   0.0130
 -9.0991   0.0396   0.0132   0.0132   0.0132
 -9.0741   0.0402   0.0134   0.0134   0.0134
 -9.0490   0.0409   0.0136   0.0136   0.0136
 -9.0240   0.0415   0.0138   0.0138   0.0138
 -8.9990   0.0422   0.0141   0.0141   0.0141
 -8.9740   0.0428   0.0143   0.0143   0.0143
 -8.9489   0.0435   0.0145   0.0145   0.0145
 -8.9239   0.0442   0.0147   0.0147   0.0147
 -8.8989   0.0449   0.0150   0.0150   0.0150
 -8.8739   0.0457   0.0152   0.0152   0.0152
 -8.8488   0.0464   0.0155   0.0155   0.0155
 -8.8238   0.0472   0.0157   0.0157   0.0157
 -8.7988   0.0480   0.0160   0.0160   0.0160
 -8.7738   0.0488   0.0163   0.0163   0.0163
 -8.7487   0.0497   0.0166   0.0166   0.0166
 -8.7237   0.0505   0.0168   0.0168   0.0168
 -8.6987   0.0514   0.0171   0.0171   0.0171
 -8.6737   0.0523   0.0174   0.0174   0.0174
 -8.6486   0.0532   0.0177   0.0177   0.0178
 -8.6236   0.0542   0.0181   0.0181   0.0181
 -8.5986   0.0552   0.0184   0.0184   0.0184
 -8.5736   0.0562   0.0187   0.0187   0.0187
 -8.5485   0.0572   0.0191   0.0191   0.0191
 -8.5235   0.0583   0.0194   0.0194   0.0194
 -8.4985   0.0594   0.0198   0.0198   0.0198
 -8.4735   0.0606   0.0202   0.0202   0.0202
 -8.4484   0.0617   0.0206   0.0206   0.0206
 -8.4234   0.0629   0.0210   0.0210   0.0210
 -8.3984   0.0642   0.0214   0.0214   0.0214
 -8.3734   0.0654   0.0218   0.0218   0.0218
 -8.3483   0.0668   0.0223   0.0223   0.0223
 -8.3233   0.0681   0.0227   0.0227   0.0227
 -8.2983   0.0695   0.0232   0.0232   0.0232
 -8.2733   0.0710   0.0237   0.0237   0.0237
 -8.2482   0.0725   0.0242   0.0242   0.0242
 -8.2232   0.0740   0.0247   0.0247   0.0247
 -8.1982   0.0756   0.0252   0.0252   0.0252
 -8.1732   0.0772   0.0257   0.0257   0.0257
 -8.1481   0.0789   0.0263   0.0263   0.0263
 -8.1231   0.0807   0.0269   0.0269   0.0269
 -8.0981   0.0825   0.0275   0.0275   0.0275
 -8.0731   0.0844   0.0281   0.0281   0.0281
 -8.0480   0.0863   0.0288   0.0288   0.0288
 -8.0230   0.0883   0.0294   0.0294   0.0294
 -7.9980   0.0904   0.0301   0.0301   0.0301
 -7.9730   0.0926   0.0309   0.0309   0.0309
 -7.9479   0.0948   0.0316   0.0316   0.0316
 -7.9229   0.0972   0.0324   0.0324   0.0324
 -7.8979   0.0996   0.0332   0.0332   0.0332
 -7.8729   0.1021   0.0340   0.0340   0.0340
 -7.8478   0.1047   0.0349   0.0349   0.0349
 -7.8228   0.1074   0.0358   0.0358   0.0358
 -7.7978   0.1102   0.0367   0.0367   0.0367
 -7.7728   0.1132   0.0377   0.0377   0.0377
 -7.7477   0.1162   0.0387   0.0387   0.0387
 -7.7227   0.1194   0.0398   0.0398   0.0398
 -7.6977   0.1227   0.0409   0.0409   0.0409
 -7.6727   0.1262   0.0421   0.0421   0.0421
 -7.6476   0.1298   0.0433   0.0433   0.0433
 -7.6226   0.1336   0.0445   0.0445   0.0445
 -7.5976   0.1375   0.0458   0.0458   0.0458
 -7.5726   0.1416   0.0472   0.0472   0.0472
 -7.5475   0.1459   0.0486   0.0486   0.0487
 -7.5225   0.1505   0.0501   0.0501   0.0502
 -7.4975   0.1552   0.0517   0.0517   0.0517
 -7.4725   0.1602   0.0534   0.0534   0.0534
 -7.4474   0.1654   0.0551   0.0551   0.0551
 -7.4224   0.1708   0.0569   0.0569   0.0570
 -7.3974   0.1766   0.0589   0.0589   0.0589
 -7.3724   0.1826   0.0609   0.0609   0.0609
 -7.3473   0.1890   0.0630   0.0630   0.0630
 -7.3223   0.1957   0.0652   0.0652   0.0653
 -7.2973   0.2028   0.0676   0.0676   0.0676
 -7.2723   0.2103   0.0701   0.0701   0.0701
 -7.2472   0.2182   0.0727   0.0727   0.0728
 -7.2222   0.2266   0.0755   0.0755   0.0756
 -7.1972   0.2355   0.0785   0.0785   0.0785
 -7.1722   0.2449   0.0816   0.0816   0.0817
 -7.1471   0.2549   0.0849   0.0849   0.0850
 -7.1221   0.2655   0.0885   0.0885   0.0886
 -7.0971   0.2768   0.0922   0.0922   0.0923
 -7.0721   0.2889   0.0963   0.0963   0.0964
 -7.0470   0.3018   0.1005   0.1005   0.1007
 -7.0220   0.3155   0.1051   0.1051   0.1053
 -6.9970   0.3303   0.1100   0.1100   0.1102
 -6.9720   0.3461   0.1153   0.1153   0.1155
 -6.9469   0.3630   0.1209   0.1209   0.1211
 -6.9219   0.3813   0.1270   0.1270   0.1272
 -6.8969   0.4009   0.1336   0.1336   0.1338
 -6.8719   0.4221   0.1406   0.1406   0.1409
 -6.8468   0.4451   0.1483   0.1483   0.1486
 -6.8218   0.4700   0.1565   0.1565   0.1569
 -6.7968   0.4970   0.1655   0.1655   0.1660
 -6.7718   0.5264   0.1753   0.1753   0.1758
 -6.7467   0.5585   0.1860   0.1860   0.1866
 -6.7217   0.5936   0.1976   0.1976   0.1983
 -6.6967   0.6321   0.2104   0.2104   0.2112
 -6.6717   0.6744   0.2245   0.2245   0.2254
 -6.6466   0.7210   0.2400   0.2400   0.2410
 -6.6216   0.7726   0.2571   0.2571   0.2583
 -6.5966   0.8297   0.2761   0.2761   0.2775
 -6.5716   0.8933   0.2972   0.2972   0.2988
 -6.5465   0.9643   0.3208   0.3208   0.3227
 -6.5215   1.0438   0.3472   0.3472   0.3494
 -6.4965   1.1332   0.3769   0.3769   0.3795
 -6.4715   1.2340   0.4103   0.4103   0.4134
 -6.4464   1.3482   0.4482   0.4482   0.4518
 -6.4214   1.4780   0.4912   0.4912   0.4955
 -6.3964   1.6261   0.5403   0.5403   0.5454
 -6.3714   1.7957   0.5965   0.5965   0.6026
 -6.3463   1.9907   0.6611   0.6611   0.6684
 -6.3213   2.2155   0.7356   0.7356   0.7442
 -6.2963   2.4752   0.8217   0.8217   0.8319
 -6.2713   2.7758   0.9213   0.9213   0.9333
 -6.2462   3.1236   1.0366   1.0366   1.0504
 -6.2212   3.5248   1.1697   1.1697   1.1853
 -6.1962   3.9848   1.3226   1.3226   1.3395
 -6.1712   4.5062   1.4964   1.4964   1.5134
 -6.1461   5.0866   1.6906   1.6906   1.7055
 -6.1211   5.7144   1.9017   1.9017   1.9110
 -6.0961   6.3650   2.1222   2.1222   2.1206
 -6.0711   6.9982   2.3389   2.3389   2.3204
 -6.0460   7.5590   2.5333   2.5333   2.4924
 -6.0210   7.9853   2.6834   2.6834   2.6185
 -5.9960   8.2212   2.7686   2.7686   2.6841
 -5.9710   8.2333   2.7754   2.7754   2.6824
 -5.9459   8.0201   2.7026   2.7026   2.6149
 -5.9209   7.6133   2.5614   2.5614   2.4906
 -5.8959   7.0670   2.3718   2.3718   2.3235
 -5.8709   6.4429   2.1565   2.1565   2.1298
 -5.8458   5.7964   1.9353   1.9353   1.9257
 -5.8208   5.1690   1.7224   1.7224   1.7243
 -5.7958   4.5867   1.5260   1.5260   1.5346
 -5.7708   4.0621   1.3501   1.3501   1.3619
 -5.7457   3.5988   1.1953   1.1953   1.2082
 -5.7207   3.1946   1.0606   1.0606   1.0734
 -5.6957   2.8445   0.9441   0.9441   0.9563
 -5.6707   2.5423   0.8436   0.8436   0.8550
 -5.6456   2.2817   0.7570   0.7570   0.7676
 -5.6206   2.0568   0.6823   0.6823   0.6923
 -5.5956   1.8625   0.6177   0.6177   0.6272
 -5.5706   1.6941   0.5616   0.5616   0.5709
 -5.5455   1.5479   0.5129   0.5129   0.5221
 -5.5205   1.4206   0.4704   0.4704   0.4798
 -5.4955   1.3094   0.4332   0.4332   0.4430
 -5.4705   1.2122   0.4006   0.4006   0.4109
 -5.4454   1.1269   0.3720   0.3720   0.3829
 -5.4204   1.0520   0.3467   0.3467   0.3585
 -5.3954   0.9862   0.3244   0.3244   0.3373
 -5.3704   0.9284   0.3047   0.3047   0.3189
 -5.3453   0.8776   0.2873   0.2873   0.3031
 -5.3203   0.8332   0.2719   0.2719   0.2895
 -5.2953   0.7945   0.2582   0.2582   0.2781
 -5.2703   0.7610   0.2462   0.2462   0.2686
 -5.2452   0.7324   0.2356   0.2356   0.2611
 -5.2202   0.7082   0.2264   0.2264   0.2554
 -5.1952   0.6883   0.2184   0.2184   0.2515
 -5.1702   0.6725   0.2115   0.2115   0.2496
 -5.1451   0.6608   0.2057   0.2057   0.2495
 -5.1201   0.6532   0.2008   0.2008   0.2515
 -5.0951   0.6496   0.1970   0.1970   0.2556
 -5.0701   0.6501   0.1941   0.1941   0.2618
 -5.0450   0.6546   0.1922   0.1922   0.2702
 -5.0200   0.6631   0.1913   0.1913   0.2805
 -4.9950   0.6751   0.1913   0.1913   0.2925
 -4.9700   0.6900   0.1923   0.1923   0.3054
 -4.9449   0.7068   0.1945   0.1945   0.3178
 -4.9199   0.7240   0.1978   0.1978   0.3283
 -4.8949   0.7402   0.2024   0.2024   0.3353
 -4.8699   0.7545   0.2085   0.2085   0.3376
 -4.8448   0.7669   0.2161   0.2161   0.3347
 -4.8198   0.7785   0.2255   0.2255   0.3275
 -4.7948   0.7913   0.2370   0.2370   0.3173
 -4.7698   0.8076   0.2508   0.2508   0.3060
 -4.7447   0.8297   0.2673   0.2673   0.2951
 -4.7197   0.8597   0.2870   0.2870   0.2857
 -4.6947   0.8992   0.3103   0.3103   0.2787
 -4.6697   0.9496   0.3376   0.3376   0.2744
 -4.6446   1.0123   0.3696   0.3696   0.2732
 -4.6196   1.0881   0.4065   0.4065   0.2752
 -4.5946   1.1775   0.4485   0.4485   0.2806
 -4.5696   1.2799   0.4952   0.4952   0.2895
 -4.5445   1.3933   0.5454   0.5454   0.3024
 -4.5195   1.5134   0.5970   0.5970   0.3194
 -4.4945   1.6339   0.6464   0.6464   0.3411
 -4.4695   1.7469   0.6895   0.6895   0.3678
 -4.4444   1.8446   0.7223   0.7223   0.4001
