# E  sum  T1  T2  T3 ...
-10.0000   0.0245   0.0082   0.0082   0.0082
 -9.9750   0.0248   0.0083   0.0083   0.0083
 -9.9499   0.0251   0.0084   0.0084   0.0084
 -9.9249   0.0254   0.0085   0.0085   0.0085
 -9.8999   0.0257   0.0086   0.0086   0.0086
 -9.8749   0.0260   0.0087   0.0087   0.0087
 -9.8498   0.0264   0.0088   0.0088   0.0088
 -9.8248   0.0267   0.0089   0.0089   0.0089
 -9.7998   0.0270   0.0090   0.0090   0.0090
 -9.7748   0.0273   0.0091   0.0091   0.0091
 -9.7497   0.0277   0.0092   0.0092   0.0092
 -9.7247   0.0280   0.0093   0.0093   0.0093
 -9.6997   0.0284   0.0095   0.0095   0.0095
 -9.6747   0.0288   0.0096   0.0096   0.0096
 -9.6496   0.0291   0.0097   0.0097   0.0097
 -9.6246   0.0295   0.0098   0.0098   0.0098
 -9.5996   0.0299   0.0100   0.0100   0.0100
 -9.5746   0.0303   0.0101   0.0101   0.0101
 -9.5495   0.0307   0.0102   0.0102   0.0102
 -9.5245   0.0311   0.0104   0.0104   0.0104
 -9.4995   0.0315   0.0105   0.0105   0.0105
 -9.4745   0.0320   0.0107   0.0107   0.0107
 -9.4494   0.0324   0.0108   0.0108   0.0108
 -9.4244   0.0329   0.0110   0.0110   0.0110
 -9.3994   0.0333   0.0111   0.0111   0.0111
 -9.3744   0.0338   0.0113   0.0113   0.0113
 -9.3493   0.0343   0.0114   0.0114   0.0114
 -9.3243   0.0347   0.0116   0.0116   0.0116
 -9.2993   0.0352   0.0117   0.0117   0.0117
 -9.2743   0.0357   0.0119   0.0119   0.0119
 -9.2492   0.0363   0.0121   0.0121   0.0121
 -9.2242   0.0368   0.0123   0.0123   0.0123
 -9.1992   0.0373   0.0124   0.0124   0.0124
 -9.1742   0.0379   0.0126   0.0126   0.0126
 -9.1491   0.0385   0.0128   0.0128   0.0128
 -9.1241   0.0390   0.0130   0.0130   0.0130
 -9.0991   0.0396   0.0132   0.0132   0.0132
 -9.0741   0.0403   0.0134   0.0134   0.0134
 -9.0490   0.0409   0.0136   0.0136   0.0136
 -9.0240   0.0415   0.0138   0.0138   0.0138
 -8.9990   0.0422   0.0141   0.0141   0.0141
 -8.9740   0.0428   0.0143   0.0143   0.0143
 -8.9489   0.0435   0.0145   0.0145   0.0145
 -8.9239   0.0442   0.0147   0.0147   0.0147
 -8.8989   0.0449   0.0150   0.0150   0.0150
 -8.8739   0.0457   0.0152   0.0152   0.0152
 -8.8488   0.0464   0.0155   0.0155   0.0155
 -8.8238   0.0472   0.0157   0.0157   0.0157
 -8.7988   0.0480   0.0160   0.0160   0.0160
 -8.7738   0.0488   0.0163   0.0163   0.0163
 -8.7487   0.0497   0.0166   0.0166   0.0166
 -8.7237   0.0505   0.0168   0.0168   0.0168
 -8.6987   0.0514   0.0171   0.0171   0.0171
 -8.6737   0.0523   0.0174   0.0174   0.0174
 -8.6486   0.0533   0.0178   0.0178   0.0178
 -8.6236   0.0542   0.0181   0.0181   0.0181
 -8.5986   0.0552   0.0184   0.0184   0.0184
 -8.5736   0.0562   0.0187   0.0187   0.0187
 -8.5485   0.0573   0.0191   0.0191   0.0191
 -8.5235   0.0583   0.0194   0.0194   0.0194
 -8.4985   0.0595   0.0198   0.0198   0.0198
 -8.4735   0.0606   0.0202   0.0202   0.0202
 -8.4484   0.0618   0.0206   0.0206   0.0206
 -8.4234   0.0630   0.0210   0.0210   0.0210
 -8.3984   0.0642   0.0214   0.0214   0.0214
 -8.3734   0.0655   0.0218   0.0218   0.0218
 -8.3483   0.0668   0.0223   0.0223   0.0223
 -8.3233   0.0682   0.0227   0.0227   0.0227
 -8.2983   0.0696   0.0232   0.0232   0.0232
 -8.2733   0.0710   0.0237   0.0237   0.0237
 -8.2482   0.0725   0.0242   0.0242   0.0242
 -8.2232   0.0741   0.0247   0.0247   0.0247
 -8.1982   0.0756   0.0252   0.0252   0.0252
 -8.1732   0.0773   0.0258   0.0258   0.0258
 -8.1481   0.0790   0.0263   0.0263   0.0263
 -8.1231   0.0808   0.0269   0.0269   0.0269
 -8.0981   0.0826   0.0275   0.0275   0.0275
 -8.0731   0.0845   0.0282   0.0282   0.0282
 -8.0480   0.0864   0.0288   0.0288   0.0288
 -8.0230   0.0884   0.0295   0.0295   0.0295
 -7.9980   0.0905   0.0302   0.0302   0.0302
 -7.9730   0.0927   0.0309   0.0309   0.0309
 -7.9479   0.0950   0.0317   0.0317   0.0317
 -7.9229   0.0973   0.0324   0.0324   0.0324
 -7.8979   0.0997   0.0332   0.0332   0.0332
 -7.8729   0.1022   0.0341   0.0341   0.0341
 -7.8478   0.1049   0.0350   0.0350   0.0350
 -7.8228   0.1076   0.0359   0.0359   0.0359
 -7.7978   0.1104   0.0368   0.0368   0.0368
 -7.7728   0.1134   0.0378   0.0378   0.0378
 -7.7477   0.1165   0.0388   0.0388   0.0388
 -7.7227   0.1197   0.0399   0.0399   0.0399
 -7.6977   0.1230   0.0410   0.0410   0.0410
 -7.6727   0.1265   0.0422   0.0422   0.0422
 -7.6476   0.1301   0.0434   0.0434   0.0434
 -7.6226   0.1339   0.0446   0.0446   0.0446
 -7.5976   0.1379   0.0460   0.0460   0.0460
 -7.5726   0.1420   0.0474   0.0474   0.0473
 -7.5475   0.1464   0.0488   0.0488   0.0488
 -7.5225   0.1510   0.0503   0.0503   0.0503
 -7.4975   0.1557   0.0519   0.0519   0.0519
 -7.4725   0.1608   0.0536   0.0536   0.0536
 -7.4474   0.1660   0.0553   0.0553   0.0553
 -7.4224   0.1716   0.0572   0.0572   0.0572
 -7.3974   0.1774   0.0591   0.0591   0.0591
 -7.3724   0.1835   0.0612   0.0612   0.0612
 -7.3473   0.1900   0.0633   0.0633   0.0633
 -7.3223   0.1968   0.0656   0.0656   0.0656
 -7.2973   0.2040   0.0680   0.0680   0.0680
 -7.2723   0.2116   0.0705   0.0705   0.0705
 -7.2472   0.2197   0.0732   0.0732   0.0732
 -7.2222   0.2282   0.0761   0.0761   0.0761
 -7.1972   0.2372   0.0791   0.0791   0.0791
 -7.1722   0.2469   0.0823   0.0823   0.0823
 -7.1471   0.2571   0.0857   0.0857   0.0857
 -7.1221   0.2679   0.0893   0.0893   0.0893
 -7.0971   0.2795   0.0932   0.0932   0.0932
 -7.0721   0.2919   0.0973   0.0973   0.0973
 -7.0470   0.3052   0.1017   0.1017   0.1017
 -7.0220   0.3193   0.1064   0.1064   0.1064
 -6.9970   0.3345   0.1115   0.1115   0.1115
 -6.9720   0.3509   0.1170   0.1170   0.1170
 -6.9469   0.3684   0.1228   0.1228   0.1228
 -6.9219   0.3874   0.1291   0.1291   0.1291
 -6.8969   0.4079   0.1360   0.1360   0.1360
 -6.8719   0.4300   0.1433   0.1433   0.1433
 -6.8468   0.4541   0.1514   0.1514   0.1514
 -6.8218   0.4802   0.1601   0.1601   0.1601
 -6.7968   0.5087   0.1696   0.1696   0.1696
 -6.7718   0.5399   0.1800   0.1800   0.1800
 -6.7467   0.5740   0.1913   0.1913   0.1913
 -6.7217   0.6115   0.2038   0.2038   0.2038
 -6.6967   0.6527   0.2176   0.2176   0.2176
 -6.6717   0.6984   0.2328   0.2328   0.2328
 -6.6466   0.7489   0.2496   0.2496   0.2497
 -6.6216   0.8051   0.2684   0.2684   0.2684
 -6.5966   0.8679   0.2893   0.2893   0.2893
 -6.5716   0.9382   0.3127   0.3127   0.3128
 -6.5465   1.0171   0.3390   0.3390   0.3391
 -6.5215   1.1063   0.3687   0.3687   0.3688
 -6.4965   1.2072   0.4024   0.4024   0.4025
 -6.4715   1.3219   0.4406   0.4406   0.4407
 -6.4464   1.4528   0.4842   0.4842   0.4844
 -6.4214   1.6027   0.5342   0.5342   0.5343
 -6.3964   1.7747   0.5915   0.5915   0.5917
 -6.3714   1.9725   0.6575   0.6575   0.6576
 -6.3463   2.2001   0.7333   0.7333   0.7334
 -6.3213   2.4615   0.8205   0.8205   0.8204
 -6.2963   2.7604   0.9203   0.9203   0.9198
 -6.2713   3.0990   1.0334   1.0334   1.0323
 -6.2462   3.4769   1.1596   1.1596   1.1576
 -6.2212   3.8884   1.2973   1.2973   1.2937
 -6.1962   4.3211   1.4423   1.4423   1.4365
 -6.1712   4.7536   1.5873   1.5873   1.5790
 -6.1461   5.1565   1.7224   1.7224   1.7117
 -6.1211   5.4979   1.8364   1.8364   1.8251
 -6.0961   5.7520   1.9203   1.9203   1.9115
 -6.0711   5.9090   1.9703   1.9703   1.9683
 -6.0460   5.9788   1.9899   1.9899   1.9990
 -6.0210   5.9874   1.9883   1.9883   2.0109
 -5.9960   5.9662   1.9768   1.9768   2.0127
 -5.9710   5.9410   1.9651   1.9651   2.0108
 -5.9459   5.9249   1.9588   1.9588   2.0073
 -5.9209   5.9173   1.9585   1.9585   2.0003
 -5.8959   5.9069   1.9608   1.9608   1.9853
 -5.8709   5.8771   1.9593   1.9593   1.9585
 -5.8458   5.8105   1.9464   1.9464   1.9177
 -5.8208   5.6916   1.9145   1.9145   1.8626
 -5.7958   5.5087   1.8576   1.8576   1.7936
 -5.7708   5.2570   1.7732   1.7732   1.7105
 -5.7457   4.9412   1.6639   1.6639   1.6135
 -5.7207   4.5768   1.5365   1.5365   1.5037
 -5.6957   4.1855   1.4003   1.4003   1.3848
 -5.6707   3.7900   1.2639   1.2639   1.2622
 -5.6456   3.4094   1.1340   1.1340   1.1413
 -5.6206   3.0562   1.0147   1.0147   1.0269
 -5.5956   2.7372   0.9076   0.9076   0.9219
 -5.5706   2.4543   0.8133   0.8133   0.8277
 -5.5455   2.2063   0.7309   0.7309   0.7445
 -5.5205   1.9905   0.6594   0.6594   0.6717
 -5.4955   1.8035   0.5975   0.5975   0.6084
 -5.4705   1.6417   0.5440   0.5440   0.5536
 -5.4454   1.5017   0.4978   0.4978   0.5062
 -5.4204   1.3807   0.4578   0.4578   0.4652
 -5.3954   1.2760   0.4231   0.4231   0.4298
 -5.3704   1.1855   0.3932   0.3932   0.3991
 -5.3453   1.1072   0.3673   0.3673   0.3727
 -5.3203   1.0398   0.3449   0.3449   0.3500
 -5.2953   0.9819   0.3257   0.3257   0.3306
 -5.2703   0.9325   0.3092   0.3092   0.3141
 -5.2452   0.8910   0.2954   0.2954   0.3002
 -5.2202   0.8566   0.2838   0.2838   0.2889
 -5.1952   0.8289   0.2745   0.2745   0.2799
 -5.1702   0.8077   0.2673   0.2673   0.2731
 -5.1451   0.7929   0.2622   0.2622   0.2685
 -5.1201   0.7845   0.2591   0.2591   0.2662
 -5.0951   0.7826   0.2582   0.2582   0.2662
 -5.0701   0.7874   0.2594   0.2594   0.2686
 -5.0450   0.7995   0.2630   0.2630   0.2735
 -5.0200   0.8191   0.2690   0.2690   0.2811
 -4.9950   0.8466   0.2776   0.2776   0.2914
 -4.9700   0.8822   0.2889   0.2889   0.3044
 -4.9449   0.9256   0.3029   0.3029   0.3197
 -4.9199   0.9756   0.3194   0.3194   0.3367
 -4.8949   1.0300   0.3379   0.3379   0.3542
 -4.8699   1.0852   0.3574   0.3574   0.3704
 -4.8448   1.1365   0.3767   0.3767   0.3830
 -4.8198   1.1787   0.3943   0.3943   0.3901
 -4.7948   1.2076   0.4086   0.4086   0.3903
 -4.7698   1.2204   0.4183   0.4183   0.3837
 -4.7447   1.2161   0.4222   0.4222   0.3717
 -4.7197   1.1953   0.4195   0.4195   0.3563
 -4.6947   1.1596   0.4099   0.4099   0.3399
 -4.6697   1.1120   0.3939   0.3939   0.3243
 -4.6446   1.0563   0.3729   0.3729   0.3105
 -4.6196   0.9969   0.3489   0.3489   0.2991
 -4.5946   0.9378   0.3239   0.3239   0.2900
 -4.5696   0.8816   0.2996   0.2996   0.2824
 -4.5445   0.8298   0.2771   0.2771   0.2757
 -4.5195   0.7829   0.2570   0.2570   0.2688
 -4.4945   0.7405   0.2397   0.2397   0.2611
 -4.4695   0.7026   0.2251   0.2251   0.2525
 -4.4444   0.6692   0.2130   0.2130   0.2432
