#      r                          R(r)
6.972968610073131080e-04 3.493385648578140306e-03
7.149184633990134314e-04 3.592159549941874742e-03
7.330163253148137869e-04 3.736637983552151300e-03
7.515904467547141745e-04 3.819103351145136313e-03
7.706408277187144860e-04 3.895889170595990061e-03
7.901145504819148983e-04 4.016732985310966786e-03
8.101174504941152741e-04 4.079579021329714748e-03
8.306495277553156134e-04 4.344013901003741969e-03
8.516578645406159848e-04 4.441014553822460187e-03
8.732482962998164679e-04 4.629879890770683716e-03
8.953149875831168747e-04 4.709972538177129367e-03
9.180166915652173245e-04 4.925637767551655985e-03
9.412475727963177377e-04 5.128343264578880990e-03
9.650605490013181541e-04 5.185048161374257968e-03
9.895085379051187218e-04 5.366168228578899017e-03
1.014538621782818967e-03 5.535527360249536087e-03
1.040256636084219621e-03 5.815991100290902709e-03
1.066556745359519952e-03 5.959630054052376773e-03
1.093544785058520692e-03 6.092623656512548454e-03
1.121273672906121120e-03 6.375160696023648814e-03
1.149637573452521591e-03 6.484641641128651227e-03
1.178742322147522184e-03 6.737886750192850771e-03
1.208587918991122900e-03 6.929871042345502746e-03
1.239174363983323304e-03 7.152485894024868118e-03
1.270554574849023762e-03 7.360422915118913084e-03
1.302728551588224490e-03 7.650206614107392215e-03
1.335696294200925055e-03 7.964689567708309673e-03
1.369510720412025822e-03 8.126194261590646492e-03
1.404171830221526357e-03 8.406230198029747760e-03
1.439732541354327025e-03 8.753595132299901369e-03
1.476192853810427827e-03 8.995880637904716398e-03
1.513552767589828327e-03 9.302284021392048796e-03
1.551865200417429109e-03 9.629395870444718702e-03
1.591130152293229955e-03 9.894890017661275156e-03
1.631400540942130580e-03 1.022229619964809891e-02
1.672729284089031565e-03 1.056055513463005809e-02
1.715063464009032330e-03 1.091610655395155137e-02
1.758508916151932952e-03 1.124844426178651241e-02
1.803012722792833936e-03 1.162426231750301499e-02
1.848627801656634560e-03 1.201351766777655414e-02
1.895459988193135556e-03 1.237706762139825431e-02
1.943456364677436559e-03 1.281388078311431963e-02
1.992616931109537567e-03 1.326048213186188651e-02
2.043100440664138377e-03 1.364133978554033302e-02
2.094801057891439340e-03 1.412421589506548426e-02
2.147824618241240754e-03 1.462914054726504286e-02
2.202224039438441250e-03 1.513705375710536379e-02
2.257946403758142196e-03 1.561276774600973624e-02
2.315097546650143456e-03 1.613984816615961215e-02
2.373730385839344526e-03 1.670194480704662726e-02
2.433792003600845910e-03 1.727421776385383925e-02
2.495441153109346968e-03 1.788652399797821535e-02
2.558624916639948201e-03 1.849333836247183879e-02
2.623396211917549542e-03 1.913501398505633097e-02
2.689807956667050488e-03 1.980740433277186976e-02
2.757860150888451906e-03 2.050153059658245402e-02
2.827711547756453590e-03 2.121991875586254350e-02
2.899256311821254376e-03 2.199167193637037443e-02
2.972653196257555794e-03 2.277993494412244163e-02
3.047902201065357409e-03 2.357968878117967793e-02
3.125109161694459084e-03 2.445297681267503964e-02
3.204221160419960020e-03 2.530159885642942197e-02
3.285291114966761884e-03 2.624426756070618802e-02
3.368477778509563168e-03 2.721470872998270341e-02
3.453781151048364740e-03 2.823744529358604774e-02
3.541201232583166599e-03 2.927971047917289626e-02
3.630843858563768175e-03 3.036556770106982328e-02
3.722761946715069832e-03 3.151800834516204491e-02
3.817008414761971936e-03 3.270062785356696311e-02
3.913636180429373550e-03 3.396528192132870078e-02
4.012698161442175906e-03 3.525275518018196330e-02
4.114300193250177567e-03 3.660568395030938671e-02
4.218442275853379400e-03 3.802247121837010191e-02
4.325230244701581267e-03 3.951045634202265261e-02
4.434717017519683099e-03 4.105394171040670226e-02
4.547008429757485627e-03 4.265317530235435833e-02
4.662104481414987116e-03 4.435478727823975731e-02
4.780111007941990030e-03 4.610870350701398029e-02
4.901133844788292497e-03 4.796335016960653203e-02
5.025225909678794449e-03 4.987740624885934893e-02
5.152440120338396684e-03 5.189583126598149715e-02
5.282829394491999134e-03 5.399343997409809803e-02
5.416605403039201523e-03 5.619463876186429202e-02
5.553715228255104788e-03 5.849733869143539794e-02
5.694317623314406988e-03 6.090232469665113335e-02
5.838465505942009789e-03 6.340652299969254391e-02
5.986264711587713054e-03 6.604126291340529920e-02
6.137821075701314910e-03 6.878956155860987964e-02
6.293187516007717891e-03 7.166018463847692588e-02
6.452469867956720992e-03 7.465621794038521108e-02
6.615826884723024874e-03 7.781028787830392146e-02
6.783311484031526867e-03 8.107774897704952966e-02
6.955029501332030302e-03 8.451565316801233629e-02
7.131086772074334175e-03 8.811376026720857402e-02
7.311642049433137412e-03 9.185378555703900549e-02
7.496748251133340812e-03 9.577721167125534396e-02
7.686511212624745105e-03 9.988020557973786850e-02
7.881089687082048351e-03 1.041647017763111388e-01
8.080589509955051278e-03 1.086341518055683603e-01
8.285169434418454548e-03 1.133251167144463389e-01
8.494935295922059759e-03 1.182155874442318011e-01
8.709940012190763373e-03 1.233183626255851123e-01
8.930448171849068514e-03 1.286551719627535839e-01
9.156512692621873381e-03 1.342367683698065250e-01
9.388345245408777698e-03 1.400664278942639895e-01
9.625998747934679661e-03 1.461565201995277397e-01
9.869684871099185935e-03 1.525194737383840926e-01
1.011956236807699111e-02 1.591527637051143029e-01
1.037573707431789505e-02 1.660835207519646139e-01
1.063836774299659928e-02 1.733258077167148248e-01
1.090766604501270526e-02 1.808781406562162686e-01
1.118384365126581098e-02 1.887646798366599821e-01
1.146695347948081464e-02 1.970014494231370483e-01
1.175720720055732117e-02 2.055913043789490691e-01
1.205486940311982676e-02 2.145512352061277328e-01
1.236004592261813126e-02 2.238882962053808934e-01
1.267294842995183961e-02 2.336399393423036763e-01
1.299373567829564466e-02 2.438035282824569383e-01
1.332267225627404954e-02 2.544023018862045515e-01
1.365996983478665570e-02 2.654466418337150246e-01
1.400578716700816295e-02 2.769567142436301643e-01
1.436033592383817101e-02 2.889429268955768237e-01
1.472382777617627786e-02 3.014375256793812019e-01
1.509658023037188310e-02 3.144474291772290098e-01
1.547875203959969172e-02 3.279986941272908241e-01
1.587060779248419817e-02 3.421083945223783451e-01
1.627235915992500739e-02 3.567887353990740196e-01
1.668432364827151376e-02 3.720603149646097840e-01
1.710666001069842054e-02 3.879564978421933819e-01
1.753973867128003072e-02 4.044858702322871591e-01
1.798377130091593709e-02 4.216717893047631227e-01
1.843902248823064624e-02 4.395365549098899649e-01
1.890580973957355776e-02 4.581062091959068883e-01
1.938439764356916437e-02 4.773974818726615665e-01
1.987515662429177252e-02 4.974375620157717726e-01
2.037829835264098194e-02 5.182409957363385278e-01
2.089414033496619222e-02 5.398431226681249528e-01
2.142310591306660281e-02 5.622540691550492742e-01
2.196540675784181343e-02 5.855122424264617154e-01
2.252146621109102353e-02 6.096265483465932444e-01
2.309160177916363618e-02 6.346310436163933311e-01
2.367618388613394395e-02 6.605465110731644218e-01
2.427553003835135684e-02 6.873982527569775236e-01
2.489006357761506735e-02 7.152022746547743726e-01
2.552020784572427842e-02 7.439899370367342168e-01
2.616622743130348969e-02 7.737877600220172125e-01
2.682865151160170741e-02 8.046134288384626521e-01
2.750779759296831731e-02 8.364966470868034909e-01
2.820414193492743263e-02 8.694510970837819874e-01
2.891816079700314235e-02 9.035016129958540754e-01
2.965022460326975640e-02 9.386767668010785881e-01
3.040080961325137068e-02 9.749938607607018248e-01
3.117044500419698799e-02 1.012468985741821648e+00
3.195950120018090090e-02 1.051129043400660379e+00
3.276856029617701560e-02 1.090988102621320843e+00
3.359809855170942799e-02 1.132065494142577178e+00
3.444864514402715128e-02 1.174380565548551747e+00
3.532072925037916394e-02 1.217945283334178841e+00
3.621488004801447919e-02 1.262774256459437972e+00
3.713167963190699972e-02 1.308878974377350790e+00
3.807165717930571097e-02 1.356276045153826049e+00
3.903544770290943988e-02 1.404971821814589905e+00
4.002363329769205447e-02 1.454971228971194686e+00
4.103684897635237472e-02 1.506278216909972212e+00
4.207567683386428947e-02 1.558904134600855640e+00
4.314085771837641164e-02 1.612839480366715428e+00
4.423297372486263007e-02 1.668088743573200361e+00
4.535271278374664733e-02 1.724644692280690839e+00
4.650081574317707633e-02 1.782502450000330363e+00
4.767802345130249531e-02 1.841646558892735319e+00
4.888497092082171730e-02 1.902070413248664771e+00
5.012250483533314815e-02 1.963751897537822533e+00
5.139136604298536609e-02 2.026669624960283134e+00
5.269234830965188743e-02 2.090804420029409805e+00
5.402624540120621460e-02 2.156126029959169355e+00
5.539395691897164298e-02 2.222599640299749435e+00
5.679622371109677159e-02 2.290196822132511745e+00
5.823405121435469567e-02 2.358866472310192641e+00
5.970823319461891765e-02 2.428574418665311541e+00
6.121977508866255357e-02 2.499264492444523533e+00
6.276957649780887105e-02 2.570886680053270368e+00
6.435858994110610354e-02 2.643379929706455744e+00
6.598782085532733932e-02 2.716685799713502991e+00
6.765832759497056315e-02 2.790729686135921650e+00
6.937111559680890494e-02 2.865441194854478901e+00
7.112724321534033556e-02 2.940744051453145325e+00
7.292782172278777786e-02 3.016552996050889224e+00
7.477401530909900951e-02 3.092780561957291674e+00
7.666693524649693947e-02 3.169332972792733294e+00
7.860774572492937318e-02 3.246114128061388993e+00
8.059771676979390898e-02 3.323015573372696707e+00
8.263806548876326263e-02 3.399932907712881924e+00
8.473006190723499087e-02 3.476753656293736672e+00
8.687497605060673367e-02 3.553359143055802694e+00
8.907423669745077877e-02 3.629624344056228136e+00
9.132916679088962097e-02 3.705424697309164017e+00
9.364119510949556191e-02 3.780628916262803951e+00
9.601175043184091706e-02 3.855100015576994110e+00
9.844226153649794642e-02 3.928701210758665852e+00
1.009343688729385929e-01 4.001285585155568647e+00
1.034895012197351583e-01 4.072712970748815664e+00
1.061093519440843846e-01 4.142829551834490864e+00
1.087955614954582428e-01 4.211482074932984432e+00
1.115497174056036961e-01 4.278521469057689153e+00
1.143736188771673490e-01 4.343787596335190848e+00
1.172690121950709097e-01 4.407125703741411549e+00
1.202376965619609689e-01 4.468376380495731048e+00
1.232815240982090138e-01 4.527382749144996943e+00
1.264023998419114836e-01 4.583985849696017745e+00
1.296022817488896584e-01 4.638028136270487600e+00
1.328831806926897008e-01 4.689353493706833298e+00
1.362471604645827672e-01 4.737808245872888513e+00
1.396962319381150341e-01 4.783243739161568975e+00
1.432326705754571883e-01 4.825511245995039111e+00
1.468586460033301788e-01 4.864467684059780694e+00
1.505763807661797404e-01 4.899978555219914433e+00
1.543882561616264082e-01 4.931909421606018640e+00
1.582966005695657652e-01 4.960138010059884195e+00
1.623039011230681394e-01 4.984545881114166299e+00
1.664126449552038312e-01 5.005024706291318459e+00
1.706253721167680093e-01 5.021475522423485494e+00
1.749447814117305877e-01 5.033804934760230054e+00
1.793735187263365838e-01 5.041936096520297284e+00
1.839143887000056765e-01 5.045797540433193618e+00
1.885702488898824414e-01 5.045330768171055524e+00
1.933439039353866407e-01 5.040492459406223702e+00
1.982384230645624357e-01 5.031245499623715922e+00
2.032568755054540155e-01 5.017569753071692062e+00
2.084023304861056247e-01 4.999456219742822505e+00
2.136780689054610383e-01 4.976908561116645480e+00
2.190873716624640311e-01 4.949943992819312300e+00
2.246335725737833022e-01 4.918595356507868388e+00
2.303202171269872478e-01 4.882905206627003558e+00
2.361507978919191453e-01 4.842934706315897841e+00
2.421289661915971558e-01 4.798755777597227379e+00
2.482584791844891781e-01 4.750455597233864680e+00
2.545431998645129035e-01 4.698135011641844550e+00
2.609869912255859958e-01 4.641911543306528110e+00
2.675938750148009748e-01 4.581914601326542602e+00
2.743680846501496684e-01 4.518285684106455591e+00
2.813137477141743892e-01 4.451182907718880699e+00
2.884352034603169246e-01 4.380775130098300885e+00
2.957370028129186479e-01 4.307242290174933430e+00
3.032235908608711950e-01 4.230777751321236124e+00
3.108997831171404491e-01 4.151580427326814871e+00
3.187702363415176321e-01 4.069862743863785326e+00
3.268399248001432333e-01 3.985842175814156896e+00
3.351139285946078128e-01 3.899740945676245740e+00
3.435973807442265215e-01 3.811788401654143232e+00
3.522955730214895054e-01 3.722215723107910268e+00
3.612140088697863294e-01 3.631255408779570537e+00
3.703581388147815789e-01 3.539142759753175493e+00
3.797338367239392332e-01 3.446107435413198861e+00
3.893468177115485540e-01 3.352381252596314809e+00
3.992032202336978086e-01 3.258188318687025298e+00
4.093090769110256932e-01 3.163750278515893299e+00
4.196707907882450961e-01 3.069280450564016771e+00
4.302948178277937741e-01 2.974986488236214477e+00
4.411877727452843123e-01 2.881066373096222044e+00
4.523564819272287152e-01 2.787709715611177863e+00
4.638079305133138153e-01 2.695096590808969683e+00
4.755493153141260310e-01 2.603395925746089024e+00
4.875878860579767049e-01 2.512766995847621310e+00
4.999312628972513162e-01 2.423357164279304587e+00
5.125870659843355659e-01 2.335303724229123912e+00
5.255632858956893472e-01 2.248731197946613580e+00
5.388675427836981946e-01 2.163756445396436856e+00
5.525092030856694203e-01 2.080477421918636161e+00
5.664958869539886699e-01 1.998990612292747215e+00
5.808371195791379726e-01 1.919374719684713293e+00
5.955408386198522974e-01 1.841704110263246985e+00
6.106170984438624716e-01 1.766037784875023053e+00
6.260748950644018374e-01 1.692428882617211139e+00
6.419242828492010000e-01 1.620919229490175528e+00
6.581747869887424329e-01 1.551543815205918442e+00
6.748364618507566304e-01 1.484329501445732946e+00
6.919198909802239950e-01 1.419293783623204019e+00
7.094361870993733943e-01 1.356447463530966457e+00
7.273954045759357667e-01 1.295796776623599600e+00
7.458097144866380201e-01 1.237338254291131312e+00
7.646897003764604461e-01 1.181066452896285091e+00
7.840480624993787506e-01 1.126966606733083687e+00
8.038964427548711544e-01 1.075021817464060225e+00
8.242470122196644544e-01 1.025209944835625331e+00
8.451130003249839318e-01 9.775035936434056660e-01
8.665071073248052924e-01 9.318724194900077640e-01
8.884430918276027267e-01 8.882819394845822281e-01
9.109336540873520516e-01 8.466952329011911971e-01
9.339941402442746288e-01 8.070704591709152442e-01
9.576383089068439824e-01 7.693646234516675619e-01
9.818809770380324542e-01 7.335312533197474449e-01
1.006737490778060851e+00 6.995215045579469271e-01
1.032223196267150422e+00 6.672844884161884815e-01
1.058354498000019905e+00 6.367663911982631708e-01
